,doi,display_name_author_fr,display_name_author_fr_utf8
124,https://doi.org/10.1002/aelm.202400211,A. D. Chepelianskii,a. d. chepelianskii
125,https://doi.org/10.1016/j.jdcr.2021.11.003,A. Dadban,a. dadban
126,https://doi.org/10.1016/j.ijfoodmicro.2024.110971,A. Danel,a. danel
127,https://doi.org/10.1016/j.jdmv.2024.03.005,A. Danjou,a. danjou
128,https://doi.org/10.1002/admt.202401131,A. Daoudi,a. daoudi
129,https://doi.org/10.1002/mpr.2002,A. de Gaulmyn,a. de gaulmyn
130,https://doi.org/10.1016/j.esmoop.2024.103644,A. de la Fourchardière,a. de la fourchardiere
131,https://doi.org/10.1002/rcm.9878,A. De Luca,a. de luca
132,https://doi.org/10.1016/j.mycmed.2024.101490,A. Debourgogne,a. debourgogne
133,https://doi.org/10.1002/jvc2.220,A. Debu,a. debu
134,https://doi.org/10.1111/aogs.15017,A. Defline,a. defline
135,https://doi.org/10.1016/j.jogoh.2024.102824,A. Delabaere,a. delabaere
136,https://doi.org/10.1111/jmg.12699,A. Delacour,a. delacour
137,https://doi.org/10.1111/jdv.19494,A. Delarue,a. delarue
138,https://doi.org/10.1002/jvc2.590,A. Delpuech,a. delpuech
139,https://doi.org/10.1002/cnr2.70015,A. Derache,a. derache
140,https://doi.org/10.1016/j.ijid.2022.01.028,A. Dernoncourt,a. dernoncourt
141,https://doi.org/10.1016/j.actamat.2024.119786,A. Deschamps,a. deschamps
142,https://doi.org/10.1111/all.15828,A. Deschildre,a. deschildre
143,https://doi.org/10.1016/j.jbspin.2024.105735,A. Desdoits,a. desdoits
144,https://doi.org/10.1016/j.jaip.2024.02.037,A. Didier,a. didier
145,https://doi.org/10.1002/ijgo.15767,A. Diguet,a. diguet
146,https://doi.org/10.1111/jdv.18973,A. Dompmartin,a. dompmartin
147,https://doi.org/10.1016/j.icarus.2024.116216,A. Doressoundiram,a. doressoundiram
148,https://doi.org/10.1016/j.nima.2024.169201,A. Dorokhov,a. dorokhov
149,https://doi.org/10.1016/j.jhepr.2024.101245,A. Dubois,a. dubois
150,https://doi.org/10.1053/j.ajkd.2023.07.020,A. Dujardin,a. dujardin
151,https://doi.org/10.1016/j.ophoto.2024.100060,A. Dupiau,a. dupiau
152,https://doi.org/10.1111/jdv.18409,A. Dupuy,a. dupuy
153,https://doi.org/10.1016/j.jaut.2024.103248,A. Duquesne,a. duquesne
154,https://doi.org/10.1016/j.celrep.2024.114656,A. Durand,a. durand
155,https://doi.org/10.1016/j.fusengdes.2023.114133,A. Durif,a. durif
156,https://doi.org/10.1016/j.heliyon.2024.e41564,A. Durlach,a. durlach
157,https://doi.org/10.1002/pssr.202400241,A. Dussaigne,a. dussaigne
158,https://doi.org/10.1016/j.waojou.2023.100809,A. Du‐Thanh,a. duthanh
159,https://doi.org/10.1016/j.animal.2023.101053,A. Duvauchelle Waché,a. duvauchelle wache
160,https://doi.org/10.1111/jdv.19688,A. Duvignaud,a. duvignaud
161,https://doi.org/10.1016/j.applanim.2024.106302,A. E. Le Blanc,a. e. le blanc
162,https://doi.org/10.1016/j.douler.2022.11.007,A. E. S. LORENZI,a. e. s. lorenzi
163,https://doi.org/10.1016/j.fjurol.2024.102844,A. Escoffier,a. escoffier
164,https://doi.org/10.1002/adpr.202300221,A. Espaignol,a. espaignol
165,https://doi.org/10.1002/nau.25427,A. Even,a. even
166,https://doi.org/10.1016/j.jbspin.2022.105500,A. Fan,a. fan
167,https://doi.org/10.1016/j.sagf.2024.03.009,A. Fassier,a. fassier
168,https://doi.org/10.1016/j.heliyon.2023.e22642,A. Felix,a. felix
