,id,display_name,hierarchy_level,parent_publisher
443,https://openalex.org/P4322764866,Xi’an Jiaotong University,0.0,
444,https://openalex.org/P4310315855,New Prairie Press,0.0,
445,https://openalex.org/P4310316357,Southern Historical Association,0.0,
446,https://openalex.org/P4310320776,Oxbow Books,0.0,
447,https://openalex.org/P4310313578,Nihon Hyōronsha,0.0,
448,https://openalex.org/P4310312477,Universidade Federal da Bahia,0.0,
449,https://openalex.org/P4310321427,International Union of Pure and Applied Chemistry,0.0,
450,https://openalex.org/P4310321022,University of Barcelona,0.0,
451,https://openalex.org/P4320800799,Northwest A&F University,0.0,
452,https://openalex.org/P4322696411,Jilin University,0.0,
453,https://openalex.org/P4310312746,Saint Petersburg State University,0.0,
454,https://openalex.org/P4320800596,Northeastern University,0.0,
455,https://openalex.org/P4310319859,Gütersloher Verlagshaus,0.0,
456,https://openalex.org/P4310316628,American Concrete Institute,0.0,
457,https://openalex.org/P4361040928,Little William Bourke,0.0,
458,https://openalex.org/P4310315173,Diponegoro University,0.0,
459,https://openalex.org/P4310316359,Linguistic Society of America,0.0,
460,https://openalex.org/P4310321453,Faculty of Agronomy in Čačak,0.0,
461,https://openalex.org/P4310311460,Éditions de la Sorbonne,0.0,
462,https://openalex.org/P4310319677,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),0.0,
463,https://openalex.org/P4310315740,Landes Bioscience,0.0,
464,https://openalex.org/P4310315356,Academy of Science of South Africa,0.0,
465,https://openalex.org/P4310320054,Éditions Gallimard,0.0,
466,https://openalex.org/P4310315184,State University of Semarang,0.0,
467,https://openalex.org/P4310319951,Estonian Academy Publishers,0.0,
468,https://openalex.org/P4310316035,University of Utah Press,0.0,
469,https://openalex.org/P4310314034,Verlag Karl Alber,0.0,
470,https://openalex.org/P4310315796,Guilford Press,0.0,
471,https://openalex.org/P4310321339,Martinus Nijhoff Publishers,0.0,
472,https://openalex.org/P4310318475,American Association of Teachers of Spanish and Portuguese,0.0,
473,https://openalex.org/P4310322570,Morgan & Claypool Publishers,0.0,
474,https://openalex.org/P4324035611,Erudit Consortium,0.0,
475,https://openalex.org/P4310318383,Turkish Online Journal of Qualitative Inquiry (TOJQI),0.0,
476,https://openalex.org/P4310313437,Japan Society for Analytical Chemistry,0.0,
477,https://openalex.org/P4322697144,The Kyushu Dental Society,0.0,
478,https://openalex.org/P4310316165,American Society of Neuroradiology,0.0,
479,https://openalex.org/P4310320842,Sciedu Press,0.0,
480,https://openalex.org/P4322614523,Japanese Association of Indian and Buddhist Studies,0.0,
481,https://openalex.org/P4361727473,China Shipbuilding Industry Corporation,0.0,
482,https://openalex.org/P4310321304,Saratov State University,0.0,
483,https://openalex.org/P4310312379,Federal University of Uberlândia,0.0,
484,https://openalex.org/P4310320339,"eScholarship Publishing, University of California",0.0,
485,https://openalex.org/P4322632801,Japanese Society of Otorhinolaryngology-Head and neck surgery,0.0,
